Iteration 1,Iteration 2,Axiom Count,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Module Axiom Count,Average Runtime,Max Justification Size,Iteration 3
9306,9367,7286,31.34,1,0.34,SubClassOf(<http://purl.obolibrary.org/obo/MA_0000639> <http://purl.obolibrary.org/obo/MA_0000001>),0,ore_ont_9646.owl,35,9332,6,9324
9864,9855,277208,58.20,1,0.59,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB#_P01374> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0002925>)),0,ore_ont_11389.owl,44,9893,1,9960
9289,9208,4912,41.48,1,0.45,SubClassOf(<http://purl.obolibrary.org/obo/CL_0000678> <http://purl.obolibrary.org/obo/CL_0000076>),0,ore_ont_14031.owl,9,9243,4,9233
9333,9316,4099,33.15,1,0.36,SubClassOf(<http://purl.obolibrary.org/obo/FYPO_0000312> <http://purl.obolibrary.org/obo/PATO_0000169>),0,ore_ont_2377.owl,20,9306,5,9269
13101,13055,177165,23.58,1,0.18,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-030131-1346> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0016020>))),0,ore_ont_7993.owl,177165,13075,1,13069
7312,7160,3204,92.07,1,1.28,SubClassOf(<http://purl.org/obo/owl/HP#HP_0006739> <http://purl.org/obo/owl/HP#HP_0002860>),0,ore_ont_4383.owl,5,7206,1,7146
7514,7417,32342,65.21,1,0.88,SubClassOf(<http://www.ontologydesignpatterns.org/ont/fao/agrovoc.owl#Anastrepha> <http://www.ontologydesignpatterns.org/ont/fao/agrovoc.owl#Tephritidae>),0,ore_ont_6433.owl,3,7440,1,7390
9192,9081,418,58.40,1,0.64,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/F35_Nomen_Use_Statement> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/E73_Information_Object>),0,ore_ont_338.owl,5,9126,2,9105
9106,9076,186,17.93,2,0.20,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/75a65645-51c9-4fe9-9f71-443fde726c1a__v5.0.1__.rdfs#E82_> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/75a65645-51c9-4fe9-9f71-443fde726c1a__v5.0.1__.rdfs#E70_>),2,ore_ont_15145.owl,14,9096,5,9108
30774,32484,207028,1104.84,1,3.45,SubClassOf(<http://purl.obolibrary.org/obo/FMA_54259> <http://purl.obolibrary.org/obo/FMA_67538>),0,ore_ont_11519.owl,15,32033,7,32841
9121,9107,733,20.84,1,0.23,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/87d0a399-d147-45f0-8680-92eb7f975195_ka.owl#PSMevaluation> <http://www.absoluteiri.edu/RELAPPROXC258>),0,ore_ont_2713.owl,9,9125,4,9148
Timeout,Timeout,153762,0.00,2650,0.00,SubClassOf(<http://purl.obolibrary.org/obo/GO_1900460> <http://purl.obolibrary.org/obo/GO_0060258>),19,ore_ont_795.owl,454,90001,21,Timeout
10510,10424,550,138.48,1,1.33,SubClassOf(<http://purl.obolibrary.org/obo/ID_0000035> <http://purl.obolibrary.org/obo/ID_0000003>),0,ore_ont_6207.owl,5,10391,2,10239
10794,9358,3091,809.09,1,8.21,SubClassOf(<http://purl.obolibrary.org/obo/DIS_1673> <http://purl.obolibrary.org/obo/DIS_0215>),0,ore_ont_1473.owl,5,9860,2,9430
9286,9376,3621,45.30,1,0.49,SubClassOf(<http://rhizomik.net/ontologies/2006/01/NewsCodes-SubjectsOnto.owl#15056012> <http://rhizomik.net/ontologies/2006/01/NewsCodes-SubjectsOnto.owl#15000000>),0,ore_ont_380.owl,5,9328,2,9322
9257,9214,822,21.93,1,0.24,SubClassOf(<http://purl.org/net/miCLIP#AdequacyOfIncome> <http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Financial>),0,ore_ont_2066.owl,10,9233,2,9228
9550,9169,195230,241.29,1,2.60,SubClassOf(<http://purl.obolibrary.org/obo/RGD_1588686> <http://purl.obolibrary.org/obo/ENSEMBL#_ENSFM00500000270954>),0,ore_ont_1357.owl,3,9274,1,9103
7096,7074,1296,27.68,1,0.39,SubClassOf(<http://grapson.com/term#Definition> <http://www.absoluteiri.edu/RELAPPROXC387>),0,ore_ont_13035.owl,315,7099,1,7129
Timeout,Timeout,1962292,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_662867> <http://purl.obolibrary.org/obo/NCBITaxon_48283>),0,ore_ont_10689.owl,7,90001,3,Timeout
7453,7320,27462,69.42,1,0.94,SubClassOf(<http://purl.obolibrary.org/obo/EMAP_10557> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/emap.mouse-gross-anatomy-and-development-ontology.6.orig#part_of> <http://purl.obolibrary.org/obo/EMAP_10555>)),0,ore_ont_2591.owl,20,7375,1,7352
85044,88494,1962292,2047.35,1,2.34,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_681203> <http://purl.obolibrary.org/obo/NCBITaxon_9149>),0,ore_ont_9674.owl,5,87405,2,88679
9216,9298,4185,42.16,1,0.46,SubClassOf(<http://purl.obolibrary.org/obo/MOD_00198> <http://purl.obolibrary.org/obo/MOD_00859>),0,ore_ont_725.owl,12,9262,2,9274
18050,18070,192934,92.34,1,0.51,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_49103> <http://purl.obolibrary.org/obo/CHEBI_75768>),0,ore_ont_13224.owl,7,18113,3,18219
44877,44194,3280784,343.05,1,0.77,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSG00000177191> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002158> <http://purl.obolibrary.org/obo/WB_WBGene00008478>)),0,ore_ont_15059.owl,3714,44516,1,44479
29028,28728,372704,254.92,1,0.89,SubClassOf(<http://purl.org/obo/owl/GO#GO_0034281> <http://purl.org/obo/owl/GO#GO_0016838>),0,ore_ont_9499.owl,5,28759,2,28521
8275,7864,99121,207.90,1,2.58,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-030131-102> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0030903>)),0,ore_ont_13902.owl,12,8051,1,8015
9180,9220,823,48.22,1,0.53,SubClassOf(<http://www.semanticweb.org/associatedmedicine/lavima/2011/10/Ontology1.owl#Donnée_non_scientifique> <http://www.semanticweb.org/associatedmedicine/lavima/2011/10/Ontology1.owl#Le_mal>),0,ore_ont_1325.owl,7,9174,3,9124
9666,9503,23056,88.67,1,0.93,SubClassOf(<http://purl.obolibrary.org/obo/HP_0011016> <http://purl.obolibrary.org/obo/HP_0011277>),0,ore_ont_3712.owl,5,9564,2,9524
22896,23356,1169399,234.48,1,1.01,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00053699> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/gaz.gazetteer.13.orig#located_in> <http://purl.obolibrary.org/obo/GAZ_00053685>)),0,ore_ont_14042.owl,40,23152,1,23205
76675,77130,1807230,243.53,1,0.32,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_54897> <http://purl.obolibrary.org/obo/NCBITaxon_34404>),0,ore_ont_8486.owl,5,76952,2,77053
