Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
7793,7236,335.33,1,4.53,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC469> <http://www.absoluteiri.edu/RELAPPROXC358>),0,ore_ont_13035.owl,1296,7406,1,7191
39024,76019,21055.06,1,40.71,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_1100718> <http://purl.obolibrary.org/obo/NCBITaxon_665874>),0,ore_ont_10689.owl,1962292,51714,1,40101
7337,7246,51.42,1,0.70,SubClassOf(<http://purl.obolibrary.org/obo/EMAP_12928> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/emap.mouse-gross-anatomy-and-development-ontology.6.orig#part_of> <http://purl.obolibrary.org/obo/EMAP_12924>)),0,ore_ont_2591.owl,27462,7305,1,7333
42768,41195,1217.85,1,2.94,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_217242> <http://purl.obolibrary.org/obo/NCBITaxon_131720>),0,ore_ont_9674.owl,1962292,41444,1,40371
10398,9303,588.01,1,6.05,SubClassOf(<http://purl.obolibrary.org/obo/MI_0936> <http://purl.obolibrary.org/obo/MI_0805>),0,ore_ont_725.owl,4185,9726,2,9479
17394,17276,128.13,1,0.74,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_52988> <http://purl.obolibrary.org/obo/CHEBI_61360>),0,ore_ont_13224.owl,192934,17269,2,17138
48033,48177,1364.45,1,2.79,SubClassOf(<http://purl.obolibrary.org/obo/RGD_1589814> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002158> <http://purl.obolibrary.org/obo/RGD_1593770>)),0,ore_ont_15059.owl,3280784,48891,1,50465
Timeout,Timeout,0.00,2,0.00,SubClassOf(<http://purl.org/obo/owl/GO#GO_0090004> <http://purl.org/obo/owl/GO#GO_0032879>),1,ore_ont_9499.owl,372704,90001,4,Timeout
9687,9720,30.53,1,0.31,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-990604-41> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0007602>)),0,ore_ont_13902.owl,99121,9718,1,9748
9100,9168,36.50,1,0.40,SubClassOf(<http://www.semanticweb.org/associatedmedicine/lavima/2011/10/Ontology1.owl#Variable_censurée> <http://www.semanticweb.org/associatedmedicine/lavima/2011/10/Ontology1.owl#Discipline_de_médecine_conventionnelle>),0,ore_ont_1325.owl,823,9141,2,9157
9617,9859,136.92,1,1.41,SubClassOf(<http://purl.obolibrary.org/obo/HP_0002757> <http://purl.obolibrary.org/obo/HP_0000924>),0,ore_ont_3712.owl,23056,9701,3,9627
25878,25958,500.43,1,1.95,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00347310> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/gaz.gazetteer.13.orig#partial_overlaps> <http://purl.obolibrary.org/obo/GAZ_00347040>)),0,ore_ont_14042.owl,1169399,25630,1,25054
35381,36101,398.75,1,1.11,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_403070> <http://purl.obolibrary.org/obo/NCBITaxon_139380>),0,ore_ont_8486.owl,1807230,35840,1,36038
9503,9208,162.11,3,1.74,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/5829d1da-f6bd-4115-9aab-c35afec13c32_rm_v5.0.1.rdfs#E36> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/5829d1da-f6bd-4115-9aab-c35afec13c32_rm_v5.0.1.rdfs#E1>),5,ore_ont_6024.owl,696,9316,7,9239
14632,14600,211.34,1,1.43,SubClassOf(<http://purl.obolibrary.org/obo/RGD_1565065> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0005615>))),0,ore_ont_6233.owl,399651,14737,1,14981
9321,9230,46.49,3,0.50,SubClassOf(<http://purl.obolibrary.org/obo/PO_0000051> <http://purl.obolibrary.org/obo/PO_0025157>),3,ore_ont_12281.owl,4369,9270,5,9259
